"GEMEENTE","NIS","KBO","gemeente/stad","straat","nr","bus","postcode","gemeente2","provincie","telefoon","fax","e-mail","contactpagina","website","deelgemeenten","postcodes gemeente en deelgemeente"
"HEERS","73022","0207476862","gemeente","Paardskerkhofstraat","20",,"3870","Heers","Limburg","011 48 01 01","011 48 01 19","info@heers.be",,"http://www.heers.be","Heers, Batsheers, Bovelingen, Gutshoven, Heks, Horpmaal, Klein-Gelmen, Mechelen-Bovelingen, Mettekoven, Opheers, Rukkelingen-Loon, Vechmaal, Veulen","3870"
"HEIST-OP-DEN-BERG","12014","0207535062","gemeente","Kerkplein","17",,"2220","Heist-op-den-Berg","Antwerpen","015 22 86 50","015 25 09 96","info@heist-op-den-berg.be",,"http://www.heist-op-den-berg.be","Heist-op-den-Berg, Hallaar, Booischoot, Itegem, Wiekevorst, Schriek","2220, 2221, 2222, 2223"
"HEMIKSEM","11018","0207506160","gemeente","Sint-Bernardusabdij","1",,"2620","Hemiksem","Antwerpen","03 288 26 20","03 288 26 00","informatie@hemiksem.be ","http://www.hemiksem.be/melding","http://www.hemiksem.be",,"2620"
"HERENT","24038","0207519127","gemeente","Spoorwegstraat","6",,"3020","Herent","Vlaams-Brabant","016 85 30 20","016 85 31 60","info@herent.be",,"http://www.herent.be","Herent, Veltem-Beisem, Winksele","3020"
"HERENTALS","13011","0207504675","gemeente","Augustijnenlaan","30",,"2200","Herentals","Antwerpen","014 28 50 50","014 21 78 28","info@herentals.be",,"http://www.herentals.be","Herentals, Morkhoven, Noorderwijk","2200"
"HERENTHOUT","13012","0207502004","gemeente","Bouwelse Steenweg","8",,"2270","Herenthout","Antwerpen","014 50 21 21","014 50 78 30","info@herenthout.be",,"http://www.herenthout.be",,"2270"
"HERK-DE-STAD","71024","0207467162","stad","Pikkeleerstraat","14",,"3540","Herk-de-Stad","Limburg","013 38 03 10 ","013 55 23 33","info@herk-de-stad.be",,"http://www.herk-de-stad.be","Berbroek, Donk, Schulen, Herk-de-Stad","3540"
"HERNE","23032","0207533676","gemeente","Centrum","17",,"1540","Herne","Vlaams-Brabant","02 397 11 50","02 397 11 68","gemeentebestuur@herne.be",,"http://www.herne.be","Herne, Sint-Pieters-Kapelle","1540, 1541"
"HERSELT","13013","0207502103","gemeente","Kerkstraat","1",,"2230","Herselt","Antwerpen","014 53 90 00","014 54 21 40","informatie@herselt.be ",,"http://www.herselt.be","Herselt, Ramsel","2230"
"HERSTAPPE","73028","0207477456","gemeente","Dorpsstraat","5",,"3717","Herstappe","Limburg","012 23 55 57","012 23 43 65","burgemeester.herstappe@telenet.be",,,,"3717"
"HERZELE","41027","0207439448","gemeente","Markt","20",,"9550","Herzele","Oost-Vlaanderen","053 60 70 70","053 63 08 70","administratie@herzele.be",,"http://www.herzele.be","Herzele, Hillegem, Sint-Antelinks, Sint-Lievens-Esse, Steenhuize-Wijnhuize, Woubrechtegem, Ressegem, Borsbeke","9550, 9551, 9552"
"HEUSDEN-ZOLDER","71070","0216772432","gemeente","Heldenplein","1",,"3550","Heusden-Zolder","Limburg","011 80�80�80","011 80 80 79","gemeente@heusden-zolder.be",,"http://www.heusden-zolder.be","Heusden, Zolder","3550"
"HEUVELLAND","33039","0216770056","gemeente","Bergstraat","24",,"8950","Heuvelland","West-Vlaanderen","057 45 04 50","057 44 56 04","info@heuvelland.be",,"http://www.heuvelland.be","Nieuwkerke, Dranouter, Wulvergem, Wijtschate, Westouter, Kemmel, Loker","8950, 8951, 8952, 8953, 8954, 8956, 8958"
"HOEGAARDEN","24041","0207519424","gemeente","Gemeenteplein","1",,"3320","Hoegaarden","Vlaams-Brabant","016 768 768","016 768 789","bart.hendrix@gemhoegaarden.be","http://www.gemeentehoegaarden.be/documents/contact.xml?lang=nl","http://www.gemeentehoegaarden.be","Hoegaarden, Meldert, Outgaarden","3320, 3321"
"HOEILAART","23033","0206562092","gemeente","Jan van Ruusbroecpark",,,"1560","Hoeilaart","Vlaams-Brabant","02 658 28 40","02 658 28 44","gemeente@hoeilaart.be",,"http://www.hoeilaart.be",,"1560"
